Id,Answer
0,0.275889555385
1,0.259059477686
2,0.314470362873
3,0.225439295524
4,0.359999680888
5,0.222040519301
6,0.401538203125
7,0.293866515349
8,0.293866515349
9,0.323449269012
10,0.323449269012
11,0.285644694723
12,0.166412604734
13,0.217616111762
14,0.368977759926
15,0.241840777423
16,0.144582844309
17,0.22200007087
18,0.415694390971
19,0.614054050327
20,0.700425650127
21,0.156186690462
22,0.0246323324073
23,0.0061856357333
24,0.00852014546355
25,0.0148930660686
26,0.0265646992342
27,0.0230130657775
28,0.232090418666
29,0.303088783627
30,0.0286738072665
31,0.189649649867
32,0.261258243195
33,0.15781692096
34,0.013238943935
35,0.026094410664
36,0.175201379004
37,0.0260298290812
38,0.174834016884
39,0.0242942291233
40,0.201876790221
41,0.572909170846
42,0.193437214417
43,0.400541723556
44,0.602495928645
45,0.449959138659
46,0.373894315736
47,0.363335974358
48,0.428888370913
49,0.17724461354
50,0.714494496199
51,0.554871874916
52,0.301473365857
53,0.283025609285
54,0.136855689353
55,0.0288332005966
56,0.190528357987
57,0.0273495521326
58,0.182286173474
59,0.194511416792
60,0.0153363448112
61,0.0833091924634
62,0.026746129232
63,0.1788930561
64,0.0109175365562
65,0.0388416131059
66,0.21028096749
67,0.111475774821
68,0.0118717755136
69,0.0208076312868
70,0.14417744096
71,0.0155521505229
72,0.111303806196
73,0.0244246895481
74,0.165613100444
75,0.184555160806
76,0.0160490999229
77,0.114504503948
78,0.243025418783
79,0.182080251043
80,0.0158307465233
81,0.199705634268
82,0.197998414271
83,0.131872000076
84,0.173848014311
85,0.025310443714
86,0.182127834372
87,0.0121907394238
88,0.00687507920486
89,0.00946731182134
90,0.0165368799253
91,0.0193194702314
92,0.135083095726
93,0.0255298932294
94,0.171980760428
95,0.0909968931143
96,0.0347777879663
97,0.241325430138
98,0.192585425878
99,0.312630611141
100,0.262851971824
101,0.223935319226
102,0.26126572366
103,0.763468810665
104,0.28226136184
105,0.294452500811
106,0.281529501959
